id,title,authors,published_date,url,pdf_url
2505.10520v1,Sharp integral bound of scalar curvature on $3$-manifolds,"Ovidiu Munteanu, Jiaping Wang",2025-05-15,http://arxiv.org/abs/2505.10520v1,http://arxiv.org/pdf/2505.10520v1
2505.10364v1,Topologies and sheaves on causal manifolds,Pierre Schapira,2025-05-15,http://arxiv.org/abs/2505.10364v1,http://arxiv.org/pdf/2505.10364v1
2505.10308v1,The Yang indices of Grassmannians,James Dibble,2025-05-15,http://arxiv.org/abs/2505.10308v1,http://arxiv.org/pdf/2505.10308v1
2505.10298v1,Discrete Geodesic Calculus in the Space of Sobolev Curves,"Sascha Beutler, Florine Hartwig, Martin Rumpf, Benedikt Wirth",2025-05-15,http://arxiv.org/abs/2505.10298v1,http://arxiv.org/pdf/2505.10298v1
2505.10194v1,Passive Channel Charting: Locating Passive Targets using a UWB Mesh,"Raffael Poeggel, Maximilian Stahlke, Jonas Pirkl, Jonathan Ott, George Yammine, Tobias Feigl, Christopher Mutschler",2025-05-15,http://arxiv.org/abs/2505.10194v1,http://arxiv.org/pdf/2505.10194v1
2505.10190v1,Luh hypercyclic vector for composition operator,"Otmane Benchiheb, Stefan Ivkovic, Noureddine Karim, Marko Kostic",2025-05-15,http://arxiv.org/abs/2505.10190v1,http://arxiv.org/pdf/2505.10190v1
2505.09950v1,Unfolding of equivariant F-bundles and application to the mirror symmetry of flag varieties,"Thorgal Hinault, Changzheng Li, Tony Yue YU, Chi Zhang, Shaowu Zhang",2025-05-15,http://arxiv.org/abs/2505.09950v1,http://arxiv.org/pdf/2505.09950v1
2505.09922v1,Improving the Euclidean Diffusion Generation of Manifold Data by Mitigating Score Function Singularity,"Zichen Liu, Wei Zhang, Tiejun Li",2025-05-15,http://arxiv.org/abs/2505.09922v1,http://arxiv.org/pdf/2505.09922v1
2505.09905v1,Stable map quotients (and orbifold log resolutions) of Richardson varieties,Allen Knutson,2025-05-15,http://arxiv.org/abs/2505.09905v1,http://arxiv.org/pdf/2505.09905v1
2505.09898v1,A Topological and Operator Algebraic Framework for Asynchronous Lattice Dynamical Systems,Faruk Alpay,2025-05-15,http://arxiv.org/abs/2505.09898v1,http://arxiv.org/pdf/2505.09898v1
2505.10458v1,Smooth surface systems may contain smooth curves which have no measure of maximal entropy,"Xulei Wang, Guohua Zhang",2025-05-15,http://arxiv.org/abs/2505.10458v1,http://arxiv.org/pdf/2505.10458v1
2505.10379v1,Cosymplectic Chern--Hamilton conjecture,"Søren Dyhr, Ángel González-Prieto, Eva Miranda, Daniel Peralta-Salas",2025-05-15,http://arxiv.org/abs/2505.10379v1,http://arxiv.org/pdf/2505.10379v1
2505.09491v1,Anti-classification results for conjugacy of diffeomorphisms on manifolds,Bo Peng,2025-05-14,http://arxiv.org/abs/2505.09491v1,http://arxiv.org/pdf/2505.09491v1
2505.09668v1,Defect Conformal Manifolds from Phantom (Non-Invertible) Symmetries,"Andrea Antinucci, Christian Copetti, Giovanni Galati, Giovanni Rizi",2025-05-14,http://arxiv.org/abs/2505.09668v1,http://arxiv.org/pdf/2505.09668v1
2505.09550v1,Cohomologous symplectic forms with different Gromov widths,Shengzhen Ning,2025-05-14,http://arxiv.org/abs/2505.09550v1,http://arxiv.org/pdf/2505.09550v1
2505.09144v1,Latent Theory of Mind: A Decentralized Diffusion Architecture for Cooperative Manipulation,"Chengyang He, Gadiel Sznaier Camps, Xu Liu, Mac Schwager, Guillaume Sartoretti",2025-05-14,http://arxiv.org/abs/2505.09144v1,http://arxiv.org/pdf/2505.09144v1
2505.09609v1,Robust Representation and Estimation of Barycenters and Modes of Probability Measures on Metric Spaces,"Washington Mio, Tom Needham",2025-05-14,http://arxiv.org/abs/2505.09609v1,http://arxiv.org/pdf/2505.09609v1
2505.09467v1,Pre-Kähler structures and finite-nondegeneracy,"Omid Makhmali, David Sykes",2025-05-14,http://arxiv.org/abs/2505.09467v1,http://arxiv.org/pdf/2505.09467v1
2505.09485v1,Single-loop $\mathcal{O}(ε^{-3})$ stochastic smoothing algorithms for nonsmooth Riemannian optimization,"Kangkang Deng, Zheng Peng, Weihe Wu",2025-05-14,http://arxiv.org/abs/2505.09485v1,http://arxiv.org/pdf/2505.09485v1
2505.08301v1,Modified Hawking mass and rigidity of three-manifolds with boundary,"Jihyeon Lee, Sanghun Lee",2025-05-13,http://arxiv.org/abs/2505.08301v1,http://arxiv.org/pdf/2505.08301v1
2505.08700v2,"A Smooth, Recurrent, Non-Periodic Viscosity Solution of the Hamilton-Jacobi Equation",Skander Charfi,2025-05-13,http://arxiv.org/abs/2505.08700v2,http://arxiv.org/pdf/2505.08700v2
2505.08915v1,An Analytical Characterization of Sloppiness in Neural Networks: Insights from Linear Models,"Jialin Mao, Itay Griniasty, Yan Sun, Mark K. Transtrum, James P. Sethna, Pratik Chaudhari",2025-05-13,http://arxiv.org/abs/2505.08915v1,http://arxiv.org/pdf/2505.08915v1
2505.08948v1,Metric degeneracies and gradient flows on symplectic leaves,"Zohreh Ravanpak, Cornelia Vizman",2025-05-13,http://arxiv.org/abs/2505.08948v1,http://arxiv.org/pdf/2505.08948v1
